Station,LAT,LONG,ELEVATION
54323,41.81667,120.7833,253.8
54324,41.55,120.4333,174.3
54325,41.18333,120.3667,183.8
54326,41.41667,119.6167,462.2
54327,41.25,119.3833,417.1
54328,41.11667,119.75,296.8
54331,41.6,121.75,113.6
54332,41.51667,122.7,12.2
54333,41.96667,122.85,30.9
54334,41.51667,121.25,74.2
54335,41.68333,122.0833,37.5
54336,41.41667,122.4333,8.3
54337,41.13333,121.1167,65.9
54338,41.26667,122.0333,4.8
54339,41.08333,123,77.3
54342,41.73333,123.5167,49
54347,41.25,123.1833,24.8
54351,41.91667,124.0667,118.5
54398,40.13333,116.6167,28.6
54399,39.98333,116.2833,45.8
54401,40.76667,114.9167,772.8
54404,40.88333,115.8333,867.6
54405,40.41667,115.5,570.9
54406,40.45,115.9667,487.9
54408,40.38333,115.2167,529.6
54410,40.6,116.1333,1224.7
54412,40.73333,116.6333,331.6
54416,40.38333,116.8667,71.8
54419,40.36667,116.6333,75.7
54420,40.93333,117.3333,529
54421,40.65,117.1167,293.3
54423,40.96667,117.9167,422.3
54424,40.16667,117.1167,32.1
54425,40.4,117.4667,633.2
54428,40.03333,117.4,15.7
54429,40.2,117.95,54.9
54430,40.78333,118.2167,330
54431,39.85,116.75,19.8
54432,40.61667,118.4667,0
54433,39.95,116.5,35.3
54434,40.16667,118.3333,131.6
54436,40.41667,118.95,254.3
54437,39.5,118.6167,18.3
54438,39.88333,118.8833,65
54439,40.01667,118.7167,50.9
54449,39.85,119.5167,2.4
54452,40.8,119.8,367
54453,40.86667,120.9667,38.9
54454,40.33333,120.3,29
54455,40.61667,120.65,20.5
54470,41.01667,122.05,5.5
54471,40.66667,122.1667,3.8
54472,40.88333,122.75,25.3
54474,40.41667,122.35,24.8
54475,40.56667,122.45,11.5
54476,40.18333,122.15,20.4
54499,40.21667,116.2167,76.2
54501,39.96667,115.6833,440.3
54502,39.48333,116.0333,29.3
54503,39.06667,115.8167,12.8
54505,39.93333,116.1,98
54506,39.31667,115.95,24.6
54507,39.33333,115.5167,49.3
54510,39.91667,116.95,18.3
54511,39.8,116.4667,31.3
54512,39.41667,116.2833,21.4
54513,39.95,116.2,63
54514,39.86667,116.25,55.2
54515,39.5,116.7,13.7
54518,39.16667,116.4,8.9
54519,39.3,116.4833,12.2
54520,39.96667,117.0833,18.1
54521,39.7,116.9833,9.4
54522,39.88333,117.7333,14.4
54523,39.43333,117.0667,8.2
54525,39.73333,117.2833,5.1
54526,39.08333,117.3333,1.9
54527,39.08333,117.05,3.5
54528,39.23333,117.1333,3.4
54529,39.35,117.8167,3.9
54530,39.23333,117.7667,1.3
54531,39.73333,118.7167,43
54532,39.8,118.0833,31.6
54533,39.58333,118.1,8.9
54534,39.65,118.1,23.2
54535,39.28333,118.4667,3.2
54539,39.43333,118.8833,8.5
54540,39.73333,119.2,17.6
54541,39.9,119.2333,24.3
54594,39.71667,116.35,37.5
54596,39.76667,116.2,48.9
54597,39.73333,115.7333,407.7
54601,38.98333,115.65,13.1
54602,38.73333,115.4833,16.8
54603,38.71667,115.7667,10
54605,38.93333,115.9333,4.4
54606,38.21667,115.75,17.9
54607,38.71667,115.1167,45
54610,38.73333,116.1,8.1
54611,38.93333,115.3167,44.8
54612,38.85,116.45,4.3
54613,38.7,116.6167,6.9
54614,38.41667,116.05,10.9
54615,38.58333,116.85,8
54616,38.35,116.85,8
54617,38.2,116.1667,13.3
54619,38.91667,116.9167,5.5
54620,38.48333,115.5667,18.5
54622,38.98333,117.3667,3.7
54623,39.05,117.7167,4.8
54624,38.4,117.3167,4.5
54626,38.41667,115.8167,13.9
54636,39.01667,116.1,11.1
54645,38.85,117.4667,2.2
54646,38.45,118.4167,30.3
55228,32.5,80.08333,4278.6
55248,32.15,84.41667,4414.9
55279,31.38333,90.01667,4700
55294,32.35,91.1,4800
55437,30.28333,81.25,3900
55472,30.95,88.63333,4672
56004,34.21667,92.43333,4533.1
56016,33.85,95.61667,4179.1
56021,34.11667,95.8,4175
56033,34.91667,98.21667,4272.3
56065,34.73333,101.6,3500
56071,34.6,102.5,3190.6
56080,35,102.9,2910
56081,34.7,103.35,2810.2
56082,34.58333,103.5,2592.1
56084,34.06667,103.2333,2374.2
56091,34.85,104.4667,1883.3
56092,35,104.65,1728.2
56093,34.43333,104.0167,2315
56094,33.78333,104.3667,1400
56095,34.03333,104.3833,1753.2
57001,34.75,105.3333,1271.9
57002,34.85,105.65,1216.1
57003,34.9,106.8333,924.2
57004,34.73333,104.8833,1495.4
57006,34.58333,105.75,1141.6
57007,34.18333,105.1833,1404.6
57008,34.03333,105.3,1579
57011,34.75,106.15,1378.2
57012,34.98333,106.2,1664.5
57014,34.56667,105.8667,1085.2
57016,34.35,107.1333,612.4
57020,34.36667,107.4,563
57021,34.65,107.1333,751.6
57022,34.68333,107.7833,1026.3
57023,35.01667,108.1167,919.9
57024,34.45,107.65,669.6
57025,34.51667,107.3833,781.1
57026,34.36667,107.8833,585.9
57027,34.3,107.7333,490.8
57028,34.03333,107.3167,1543.6
57029,34.5,108.4833,543.2
57030,34.7,108.15,994.6
57031,34.81667,108.55,1012.7
57032,34.13333,108.2,436
57033,34.55,108.8167,428.1
57034,34.31667,108.2333,471
57035,34.55,108.2333,636.8
57037,34.93333,108.9833,710
57038,34.28333,108.45,410.9
57039,34.08333,108.8833,445
57040,34.55,109.0667,385
57042,34.78333,109.1833,470.9
57043,34.8,109.9667,351.4
57044,34.4,109.2333,424.5
57045,34.4,109.5,640.8
57046,34.48333,110.0833,2064.9
57047,34.16667,109.3167,540.2
57048,34.4,108.7167,472.8
57049,34.51667,109.7333,341.5
57051,34.8,111.2,409.9
57052,34.88333,110.45,354.1
57053,34.7,110.7167,505.7
57054,34.55,110.2333,556.3
57055,34.6,110.1333,342.1
57056,34.53333,110.85,484.5
57057,34.1,110.15,963.4
57060,35.16667,111.2333,402.9
57061,34.83333,111.2,410.7
57102,33.75,105.7167,970
57110,33.78333,106.0833,930.8
57111,33.91667,106.3,961.4
57113,33.93333,106.55,984
57124,33.63333,106.9333,1032.1
57132,34.13333,108.5833,411
57134,33.51667,107.9833,827.2
57140,33.66667,109.1167,818.2
57143,33.86667,109.9667,742.2
